Nazwa odbiorcy,Ulica,Miejscowość,Kod pocztowy,Kraj,Wymiary (cm),Waga (kg),Carrier,Metoda wysylki,Cena API,Waluta,Cena API (PLN),Cena cennik (PLN),Roznica (PLN)
"Odbiorca Luksemburg","Rue Philippe II 30","Luxembourg","2340","LU","10x10x10","2","DPD","Courier service","8.00","EUR","34.40","34.40","0.00"
"Odbiorca Luksemburg","Rue Philippe II 30","Luxembourg","2340","LU","10x10x10","2","Schenker","System","53.63","EUR","230.61","",""
"Odbiorca Luksemburg","Rue Philippe II 30","Luxembourg","2340","LU","10x10x10","2","Schenker","System Premium","72.40","EUR","311.32","",""
"Odbiorca Luksemburg","Rue Philippe II 30","Luxembourg","2340","LU","10x10x10","2","UPS Polska","UPS Express","75.71","PLN","75.71","75.71","0.00"
"Odbiorca Luksemburg","Rue Philippe II 30","Luxembourg","2340","LU","10x10x10","2","UPS Polska","UPS Express Saver","70.11","PLN","70.11","70.11","0.00"
"Odbiorca Luksemburg","Rue Philippe II 30","Luxembourg","2340","LU","10x10x10","2","UPS Polska","UPS Standard","47.89","PLN","47.89","47.89","0.00"
"Odbiorca Luksemburg","Rue Philippe II 30","Luxembourg","2340","LU","10x10x10","2","DHL Express","Express Worldwide","71.88","PLN","71.88","71.88","0.00"
"Odbiorca Luksemburg","Rue Philippe II 30","Luxembourg","2340","LU","10x10x10","2","DHL Express","Economy Select","93.79","PLN","93.79","93.79","0.00"
"Odbiorca Luksemburg","Rue Philippe II 30","Luxembourg","2340","LU","10x10x10","2","FedEx","International Priority","26.51","PLN","26.51","26.51","0.00"
"Odbiorca Luksemburg","Rue Philippe II 30","Luxembourg","2340","LU","10x10x10","2","FedEx","International Priority Freight","776.85","PLN","776.85","776.85","0.00"
"Odbiorca Luksemburg","Rue Philippe II 30","Luxembourg","2340","LU","10x10x10","2","FedEx","Regional Economy Freight","174.11","PLN","174.11","174.11","0.00"
"Odbiorca Luksemburg","Rue Philippe II 30","Luxembourg","2340","LU","10x10x10","2","FedEx","Regional Economy","22.15","PLN","22.15","22.15","0.00"
"Odbiorca Luksemburg","Rue Philippe II 30","Luxembourg","2340","LU","10x10x10","2","FedEx","International First®","1395.33","PLN","1395.33","1395.33","0.00"
"Odbiorca Luksemburg","Rue Philippe II 30","Luxembourg","2340","LU","10x10x10","2","FedEx","International Connect Plus","527.05","PLN","527.05","527.05","0.00"
"Odbiorca Luksemburg","Rue Philippe II 30","Luxembourg","2340","LU","10x10x10","2","FedEx","International Priority Express","26.51","PLN","26.51","26.51","0.00"
"Odbiorca Valletta","Republic Street 45","Valletta","VLT1117","MT","10x10x10","2","FedEx","International Priority","36.57","PLN","36.57","36.57","0.00"
"Odbiorca Valletta","Republic Street 45","Valletta","VLT1117","MT","10x10x10","2","FedEx","International Economy","36.04","PLN","36.04","36.04","0.00"
"Odbiorca Valletta","Republic Street 45","Valletta","VLT1117","MT","10x10x10","2","FedEx","International Priority Freight","985.01","PLN","985.01","985.01","0.00"
"Odbiorca Valletta","Republic Street 45","Valletta","VLT1117","MT","10x10x10","2","FedEx","International Connect Plus","718.51","PLN","718.51","718.51","0.00"
"Odbiorca Nikozja","Makarios Avenue 56","Nicosia","1071","CY","10x10x10","2","DHL Express","Express Worldwide","71.88","PLN","71.88","93.85","-21.97"
"Odbiorca Nikozja","Makarios Avenue 56","Nicosia","1071","CY","10x10x10","2","UPS Polska","UPS Express Saver","154.76","PLN","154.76","154.76","0.00"
"Odbiorca Nikozja","Makarios Avenue 56","Nicosia","1071","CY","10x10x10","2","FedEx","International Priority","36.57","PLN","36.57","42.51","-5.94"
"Odbiorca Nikozja","Makarios Avenue 56","Nicosia","1071","CY","10x10x10","2","FedEx","International Economy","36.04","PLN","36.04","41.89","-5.85"
"Odbiorca Nikozja","Makarios Avenue 56","Nicosia","1071","CY","10x10x10","2","FedEx","International Priority Freight","985.01","PLN","985.01","1145.07","-160.06"
"Odbiorca Nikozja","Makarios Avenue 56","Nicosia","1071","CY","10x10x10","2","FedEx","International Connect Plus","718.51","PLN","718.51","952.03","-233.52"
"Odbiorca Tallinn","Viru 4","Tallinn","10140","EE","10x10x10","2","DPD","Courier service","10.00","EUR","43.00","43.00","0.00"
"Odbiorca Tallinn","Viru 4","Tallinn","10140","EE","10x10x10","2","Schenker","System","46.54","EUR","200.12","",""
"Odbiorca Tallinn","Viru 4","Tallinn","10140","EE","10x10x10","2","Schenker","System Premium","62.83","EUR","270.17","",""
"Odbiorca Tallinn","Viru 4","Tallinn","10140","EE","10x10x10","2","UPS Polska","UPS Express Saver","74.95","PLN","74.95","74.95","0.00"
"Odbiorca Tallinn","Viru 4","Tallinn","10140","EE","10x10x10","2","UPS Polska","UPS Standard","47.89","PLN","47.89","47.89","0.00"
"Odbiorca Tallinn","Viru 4","Tallinn","10140","EE","10x10x10","2","DHL Express","Express Worldwide","71.88","PLN","71.88","71.88","0.00"
"Odbiorca Tallinn","Viru 4","Tallinn","10140","EE","10x10x10","2","DHL Express","Economy Select","96.89","PLN","96.89","96.89","0.00"
"Odbiorca Tallinn","Viru 4","Tallinn","10140","EE","10x10x10","2","FedEx","International Priority","29.68","PLN","29.68","29.68","0.00"
"Odbiorca Tallinn","Viru 4","Tallinn","10140","EE","10x10x10","2","FedEx","International Priority Freight","921.11","PLN","921.11","921.11","0.00"
"Odbiorca Tallinn","Viru 4","Tallinn","10140","EE","10x10x10","2","FedEx","Regional Economy Freight","217.52","PLN","217.52","217.52","0.00"
"Odbiorca Tallinn","Viru 4","Tallinn","10140","EE","10x10x10","2","FedEx","Regional Economy","25.02","PLN","25.02","25.02","0.00"
"Odbiorca Tallinn","Viru 4","Tallinn","10140","EE","10x10x10","2","FedEx","International Connect Plus","580.95","PLN","580.95","580.95","0.00"
"Odbiorca Wilno","Gedimino pr. 9","Vilnius","01103","LT","10x10x10","2","DPD","Courier service","7.00","EUR","30.10","30.10","0.00"
"Odbiorca Wilno","Gedimino pr. 9","Vilnius","01103","LT","10x10x10","2","Schenker","System","37.41","EUR","160.86","",""
"Odbiorca Wilno","Gedimino pr. 9","Vilnius","01103","LT","10x10x10","2","Schenker","System Premium","50.50","EUR","217.15","",""
"Odbiorca Wilno","Gedimino pr. 9","Vilnius","01103","LT","10x10x10","2","UPS Polska","UPS Express","80.95","PLN","80.95","80.95","0.00"
"Odbiorca Wilno","Gedimino pr. 9","Vilnius","01103","LT","10x10x10","2","UPS Polska","UPS Express Saver","74.95","PLN","74.95","74.95","0.00"
"Odbiorca Wilno","Gedimino pr. 9","Vilnius","01103","LT","10x10x10","2","UPS Polska","UPS Standard","47.89","PLN","47.89","47.89","0.00"
"Odbiorca Wilno","Gedimino pr. 9","Vilnius","01103","LT","10x10x10","2","DHL Express","Express Worldwide","71.88","PLN","71.88","71.88","0.00"
"Odbiorca Wilno","Gedimino pr. 9","Vilnius","01103","LT","10x10x10","2","DHL Express","Economy Select","96.89","PLN","96.89","96.89","0.00"
"Odbiorca Wilno","Gedimino pr. 9","Vilnius","01103","LT","10x10x10","2","FedEx","International Priority","24.38","PLN","24.38","24.38","0.00"
"Odbiorca Wilno","Gedimino pr. 9","Vilnius","01103","LT","10x10x10","2","FedEx","International Priority Freight","426.04","PLN","426.04","426.04","0.00"
"Odbiorca Wilno","Gedimino pr. 9","Vilnius","01103","LT","10x10x10","2","FedEx","Regional Economy Freight","139.90","PLN","139.90","139.90","0.00"
"Odbiorca Wilno","Gedimino pr. 9","Vilnius","01103","LT","10x10x10","2","FedEx","Regional Economy","21.80","PLN","21.80","21.80","0.00"
"Odbiorca Wilno","Gedimino pr. 9","Vilnius","01103","LT","10x10x10","2","FedEx","International Connect Plus","493.28","PLN","493.28","493.28","0.00"
"Odbiorca Ryga","Brīvības iela 84","Rīga","LV-1001","LV","10x10x10","2","DPD","Courier service","8.00","EUR","34.40","34.40","0.00"
"Odbiorca Ryga","Brīvības iela 84","Rīga","LV-1001","LV","10x10x10","2","Schenker","System","45.53","EUR","195.78","",""
"Odbiorca Ryga","Brīvības iela 84","Rīga","LV-1001","LV","10x10x10","2","Schenker","System Premium","61.47","EUR","264.32","",""
"Odbiorca Ryga","Brīvības iela 84","Rīga","LV-1001","LV","10x10x10","2","DHL Express","Express Worldwide","71.88","PLN","71.88","71.88","0.00"
"Odbiorca Ryga","Brīvības iela 84","Rīga","LV-1001","LV","10x10x10","2","DHL Express","Economy Select","96.89","PLN","96.89","96.89","0.00"
"Odbiorca Ryga","Brīvības iela 84","Rīga","LV-1001","LV","10x10x10","2","UPS Polska","UPS Express","80.95","PLN","80.95","80.95","0.00"
"Odbiorca Ryga","Brīvības iela 84","Rīga","LV-1001","LV","10x10x10","2","UPS Polska","UPS Express Saver","74.95","PLN","74.95","74.95","0.00"
"Odbiorca Ryga","Brīvības iela 84","Rīga","LV-1001","LV","10x10x10","2","UPS Polska","UPS Standard","47.89","PLN","47.89","47.89","0.00"
"Odbiorca Ryga","Brīvības iela 84","Rīga","LV-1001","LV","10x10x10","2","FedEx","International Priority","29.68","PLN","29.68","29.68","0.00"
"Odbiorca Ryga","Brīvības iela 84","Rīga","LV-1001","LV","10x10x10","2","FedEx","International Priority Freight","921.11","PLN","921.11","921.11","0.00"
"Odbiorca Ryga","Brīvības iela 84","Rīga","LV-1001","LV","10x10x10","2","FedEx","Regional Economy Freight","217.52","PLN","217.52","217.52","0.00"
"Odbiorca Ryga","Brīvības iela 84","Rīga","LV-1001","LV","10x10x10","2","FedEx","Regional Economy","25.02","PLN","25.02","25.02","0.00"
"Odbiorca Ryga","Brīvības iela 84","Rīga","LV-1001","LV","10x10x10","2","FedEx","International Connect Plus","580.95","PLN","580.95","580.95","0.00"
"Odbiorca Lublana","Čopova ulica 14","Ljubljana","1000","SI","10x10x10","2","DPD","Courier service","10.00","EUR","43.00","43.00","0.00"
"Odbiorca Lublana","Čopova ulica 14","Ljubljana","1000","SI","10x10x10","2","Schenker","System","57.67","EUR","247.98","",""
"Odbiorca Lublana","Čopova ulica 14","Ljubljana","1000","SI","10x10x10","2","Schenker","System Premium","77.85","EUR","334.75","",""
"Odbiorca Lublana","Čopova ulica 14","Ljubljana","1000","SI","10x10x10","2","DHL Express","Express Worldwide","71.88","PLN","71.88","71.88","0.00"
"Odbiorca Lublana","Čopova ulica 14","Ljubljana","1000","SI","10x10x10","2","DHL Express","Economy Select","96.89","PLN","96.89","96.89","0.00"
"Odbiorca Lublana","Čopova ulica 14","Ljubljana","1000","SI","10x10x10","2","UPS Polska","UPS Express","80.95","PLN","80.95","80.95","0.00"
"Odbiorca Lublana","Čopova ulica 14","Ljubljana","1000","SI","10x10x10","2","UPS Polska","UPS Express Saver","74.95","PLN","74.95","74.95","0.00"
"Odbiorca Lublana","Čopova ulica 14","Ljubljana","1000","SI","10x10x10","2","UPS Polska","UPS Standard","48.10","PLN","48.10","48.10","0.00"
"Odbiorca Lublana","Čopova ulica 14","Ljubljana","1000","SI","10x10x10","2","FedEx","International Priority","29.68","PLN","29.68","29.68","0.00"
"Odbiorca Lublana","Čopova ulica 14","Ljubljana","1000","SI","10x10x10","2","FedEx","International Priority Freight","921.11","PLN","921.11","921.11","0.00"
"Odbiorca Lublana","Čopova ulica 14","Ljubljana","1000","SI","10x10x10","2","FedEx","Regional Economy Freight","217.52","PLN","217.52","217.52","0.00"
"Odbiorca Lublana","Čopova ulica 14","Ljubljana","1000","SI","10x10x10","2","FedEx","Regional Economy","25.02","PLN","25.02","25.02","0.00"
"Odbiorca Lublana","Čopova ulica 14","Ljubljana","1000","SI","10x10x10","2","FedEx","International Connect Plus","580.95","PLN","580.95","580.95","0.00"
"Odbiorca Bratysława","Obchodná 64","Bratislava","81106","SK","10x10x10","2","DPD","Courier service","8.00","EUR","34.40","34.40","0.00"
"Odbiorca Bratysława","Obchodná 64","Bratislava","81106","SK","10x10x10","2","Schenker","System Premium","61.47","EUR","264.32","",""
"Odbiorca Bratysława","Obchodná 64","Bratislava","81106","SK","10x10x10","2","Schenker","System","45.53","EUR","195.78","",""
"Odbiorca Bratysława","Obchodná 64","Bratislava","81106","SK","10x10x10","2","UPS Polska","UPS Express","70.01","PLN","70.01","70.01","0.00"
"Odbiorca Bratysława","Obchodná 64","Bratislava","81106","SK","10x10x10","2","UPS Polska","UPS Express Saver","64.83","PLN","64.83","64.83","0.00"
"Odbiorca Bratysława","Obchodná 64","Bratislava","81106","SK","10x10x10","2","UPS Polska","UPS Standard","48.43","PLN","48.43","48.43","0.00"
"Odbiorca Bratysława","Obchodná 64","Bratislava","81106","SK","10x10x10","2","DHL Express","Express Worldwide","71.88","PLN","71.88","71.88","0.00"
"Odbiorca Bratysława","Obchodná 64","Bratislava","81106","SK","10x10x10","2","DHL Express","Economy Select","89.44","PLN","89.44","89.44","0.00"
"Odbiorca Bratysława","Obchodná 64","Bratislava","81106","SK","10x10x10","2","FedEx","International Priority","24.38","PLN","24.38","24.38","0.00"
"Odbiorca Bratysława","Obchodná 64","Bratislava","81106","SK","10x10x10","2","FedEx","International Priority Freight","426.04","PLN","426.04","426.04","0.00"
"Odbiorca Bratysława","Obchodná 64","Bratislava","81106","SK","10x10x10","2","FedEx","Regional Economy Freight","139.90","PLN","139.90","139.90","0.00"
"Odbiorca Bratysława","Obchodná 64","Bratislava","81106","SK","10x10x10","2","FedEx","International Connect Plus","493.28","PLN","493.28","493.28","0.00"
"Odbiorca Bratysława","Obchodná 64","Bratislava","81106","SK","10x10x10","2","FedEx","International Priority Express","24.38","PLN","24.38","28.34","-3.96"
"Odbiorca Zagrzeb","Ilica 5","Zagreb","10000","HR","10x10x10","2","DPD","Courier service","16.00","EUR","68.80","68.80","0.00"
"Odbiorca Zagrzeb","Ilica 5","Zagreb","10000","HR","10x10x10","2","Schenker","System Premium","81.96","EUR","352.43","",""
"Odbiorca Zagrzeb","Ilica 5","Zagreb","10000","HR","10x10x10","2","Schenker","System","60.71","EUR","261.05","",""
"Odbiorca Zagrzeb","Ilica 5","Zagreb","10000","HR","10x10x10","2","DHL Express","Express Worldwide","71.88","PLN","71.88","71.88","0.00"
"Odbiorca Zagrzeb","Ilica 5","Zagreb","10000","HR","10x10x10","2","DHL Express","Economy Select","96.89","PLN","96.89","96.89","0.00"
"Odbiorca Zagrzeb","Ilica 5","Zagreb","10000","HR","10x10x10","2","UPS Polska","UPS Express","80.95","PLN","80.95","80.95","0.00"
"Odbiorca Zagrzeb","Ilica 5","Zagreb","10000","HR","10x10x10","2","UPS Polska","UPS Express Saver","74.95","PLN","74.95","74.95","0.00"
"Odbiorca Zagrzeb","Ilica 5","Zagreb","10000","HR","10x10x10","2","UPS Polska","UPS Standard","48.10","PLN","48.10","48.10","0.00"
"Odbiorca Zagrzeb","Ilica 5","Zagreb","10000","HR","10x10x10","2","FedEx","International Priority","29.68","PLN","29.68","29.68","0.00"
"Odbiorca Zagrzeb","Ilica 5","Zagreb","10000","HR","10x10x10","2","FedEx","International Priority Freight","921.11","PLN","921.11","921.11","0.00"
"Odbiorca Zagrzeb","Ilica 5","Zagreb","10000","HR","10x10x10","2","FedEx","Regional Economy Freight","217.52","PLN","217.52","217.52","0.00"
"Odbiorca Zagrzeb","Ilica 5","Zagreb","10000","HR","10x10x10","2","FedEx","Regional Economy","25.02","PLN","25.02","25.02","0.00"
"Odbiorca Zagrzeb","Ilica 5","Zagreb","10000","HR","10x10x10","2","FedEx","International Connect Plus","580.95","PLN","580.95","580.95","0.00"
"Odbiorca Sofia","Vitosha Boulevard 80","Sofia","1463","BG","10x10x10","2","Schenker","System","71.84","EUR","308.91","",""
"Odbiorca Sofia","Vitosha Boulevard 80","Sofia","1463","BG","10x10x10","2","Schenker","System Premium","96.98","EUR","417.01","",""
"Odbiorca Sofia","Vitosha Boulevard 80","Sofia","1463","BG","10x10x10","2","DPD","Courier service","14.00","EUR","60.20","60.20","0.00"
"Odbiorca Sofia","Vitosha Boulevard 80","Sofia","1463","BG","10x10x10","2","UPS Polska","UPS Express Saver","74.95","PLN","74.95","74.95","0.00"
"Odbiorca Sofia","Vitosha Boulevard 80","Sofia","1463","BG","10x10x10","2","UPS Polska","UPS Standard","47.89","PLN","47.89","47.89","0.00"
"Odbiorca Sofia","Vitosha Boulevard 80","Sofia","1463","BG","10x10x10","2","DHL Express","Express Worldwide","71.88","PLN","71.88","71.88","0.00"
"Odbiorca Sofia","Vitosha Boulevard 80","Sofia","1463","BG","10x10x10","2","DHL Express","Economy Select","96.89","PLN","96.89","96.89","0.00"
"Odbiorca Sofia","Vitosha Boulevard 80","Sofia","1463","BG","10x10x10","2","FedEx","International Priority","29.68","PLN","29.68","29.68","0.00"
"Odbiorca Sofia","Vitosha Boulevard 80","Sofia","1463","BG","10x10x10","2","FedEx","International Priority Freight","921.11","PLN","921.11","921.11","0.00"
"Odbiorca Sofia","Vitosha Boulevard 80","Sofia","1463","BG","10x10x10","2","FedEx","Regional Economy Freight","217.52","PLN","217.52","217.52","0.00"
"Odbiorca Sofia","Vitosha Boulevard 80","Sofia","1463","BG","10x10x10","2","FedEx","Regional Economy","25.02","PLN","25.02","25.02","0.00"
"Odbiorca Sofia","Vitosha Boulevard 80","Sofia","1463","BG","10x10x10","2","FedEx","International Connect Plus","580.95","PLN","580.95","580.95","0.00"
"Odbiorca Bukareszt","Calea Victoriei 174","București","010097","RO","10x10x10","2","Schenker","System","68.80","EUR","295.84","",""
"Odbiorca Bukareszt","Calea Victoriei 174","București","010097","RO","10x10x10","2","Schenker","System Premium","92.88","EUR","399.38","",""
"Odbiorca Bukareszt","Calea Victoriei 174","București","010097","RO","10x10x10","2","DPD","Courier service","16.00","EUR","68.80","68.80","0.00"
"Odbiorca Bukareszt","Calea Victoriei 174","București","010097","RO","10x10x10","2","UPS Polska","UPS Express Saver","74.95","PLN","74.95","74.95","0.00"
"Odbiorca Bukareszt","Calea Victoriei 174","București","010097","RO","10x10x10","2","UPS Polska","UPS Standard","47.89","PLN","47.89","47.89","0.00"
"Odbiorca Bukareszt","Calea Victoriei 174","București","010097","RO","10x10x10","2","DHL Express","Express Worldwide","71.88","PLN","71.88","71.88","0.00"
"Odbiorca Bukareszt","Calea Victoriei 174","București","010097","RO","10x10x10","2","DHL Express","Economy Select","96.89","PLN","96.89","96.89","0.00"
"Odbiorca Bukareszt","Calea Victoriei 174","București","010097","RO","10x10x10","2","FedEx","International Priority","29.68","PLN","29.68","29.68","0.00"
"Odbiorca Bukareszt","Calea Victoriei 174","București","010097","RO","10x10x10","2","FedEx","International Priority Freight","921.11","PLN","921.11","921.11","0.00"
"Odbiorca Bukareszt","Calea Victoriei 174","București","010097","RO","10x10x10","2","FedEx","Regional Economy Freight","217.52","PLN","217.52","217.52","0.00"
"Odbiorca Bukareszt","Calea Victoriei 174","București","010097","RO","10x10x10","2","FedEx","Regional Economy","25.02","PLN","25.02","25.02","0.00"
"Odbiorca Bukareszt","Calea Victoriei 174","București","010097","RO","10x10x10","2","FedEx","International Connect Plus","580.95","PLN","580.95","580.95","0.00"
"Odbiorca Budapeszt","Andrássy út 60","Budapest","1062","HU","10x10x10","2","Schenker","System","47.55","EUR","204.46","",""
"Odbiorca Budapeszt","Andrássy út 60","Budapest","1062","HU","10x10x10","2","Schenker","System Premium","64.19","EUR","276.02","",""
"Odbiorca Budapeszt","Andrássy út 60","Budapest","1062","HU","10x10x10","2","DPD","Courier service","7.00","EUR","30.10","30.10","0.00"
"Odbiorca Budapeszt","Andrássy út 60","Budapest","1062","HU","10x10x10","2","UPS Polska","UPS Express","80.95","PLN","80.95","80.95","0.00"
"Odbiorca Budapeszt","Andrássy út 60","Budapest","1062","HU","10x10x10","2","UPS Polska","UPS Express Saver","74.95","PLN","74.95","74.95","0.00"
"Odbiorca Budapeszt","Andrássy út 60","Budapest","1062","HU","10x10x10","2","UPS Polska","UPS Standard","42.28","PLN","42.28","42.28","0.00"
